,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57,item58,item59,item60,item61,item62,item63,item64,item65,item66,item67,item68,item69,item70,item71,item72,item73,item74,item75
714,Home Learning - Alam & Sekitarku [Prasekolah/2-6 tahun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Belajar Berpikir Analitis untuk Memecahkan Masalah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,SMK Siap Karier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Obrolan #PemimpinMerdekaBelajar,Prinsip CINTA – Keluarga Kita,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Angkatan 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Nonton Bareng Guru Merdeka Belajar,Guru Merdeka Belajar,Menjadi Pemimpin Merdeka Belajar,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Nonton Bareng Guru Merdeka Belajar,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna angkatan 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Obrolan #PemimpinMerdekaBelajar,Pembelajaran Jarak Jauh di Kondisi Darurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Siap Wirausaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Refleksi CINTA dalam Pengasuhan dan Pengajaran,Mencintai dengan Lebih Baik,(Belajar Mandiri) Miliki Mental Penting untuk Sukses,Temukan Visi Hidupmu,Temukan Cara Belajarmu,Coba Program - Pengguna Jalan [Prasekolah/ 2-6 tahun],Merancang Program Blended Learning Bermakna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,PAUD B (5-6 tahun) | Sekolah PAUD Gratis,[RMC Pakubuwono] Islamic studies RS,[RMC Bandung] Social Studies RJ (A&B),Hack of Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Kelas Kilat Bahasa Inggris Job Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Pelatihan PJJMB PAUD Umum Disdik DKI Angkatan 14,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Angkatan 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna x STC,Matsama Siswa RA dan MI Tahun Pelajaran 2020/2021,Menjadi Guru Merdeka Berkarya,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna Angkatan 7,MPLS  Siswa SD & Paket A Tahun Pelajaran 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,IPS KELAS 7 - SMP NEGERI 231 JAKARTA,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",Desain Media Interaktif - Kelas XII Multimedia,Kelas 2 SD – Dinas Pendidikan DKI,Matsama Siswa RA dan MI Tahun Pelajaran 2020/2021,Pertunjukkan Boneka,Fun With Numbers,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Kelas 1 SD – Dinas Pendidikan DKI,IPA KELAS IX SMP NEGERI 6 JAKARTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Menyimpan data ke Firebase Realtime Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Kelas Merdeka Belajar – Kampus Guru Cikal,Merancang Program Belajar di Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Test payment 24 (QA Testing),QA Program : Sprint 40 Mid Sprint,Kenapa Perusahaan Butuh  Tim Produk? - Batch 2,SMA Siap Karier,Trial Start-Up Founder Club,Matematika Kelas VIII SMP - Dinas Pendidikan Jakarta,Fotografi untuk Pemula,Main Yuk! Lomba Balap Keset,Trial Content Creator Club,Digital Parenting – Keluarga Kita,Pemimpin Sekolah Merdeka Berkarya,Bahasa Jepang Kelas 10 SMA-Dinas Pendidikan Jakarta,Seri Belajar Menyenangkan (PAUD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,"Main Tebak Langkah, Yuk!",Seniman Cilik: Prakarya Ekspresi Warna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,Pembelajaran JarakJauh Menyenangkan Bermakna GagasCeria,Fun With Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,"Menjadi Pengusaha Barbershop Rumahan, 2 JAM SIAP KERJA!",Memahami Iman Kepada Hari Akhir,Pengenalan Profesi Entrepreneur/Wirausaha,PAUD 4-5 tahun Sekolah Murid Merdeka: Triwulan 2,Resume Product Research Sekolah.mu,Matsama Siswa MI Kelas 1 Tahun Pelajaran 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Program Liburan SD: Mari Menjaga Lingkungan,Nonton Bareng Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Obrolan #PemimpinMerdekaBelajar,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,([Sekolah Cikal Surabaya) Quranic Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,PAUD KB (3-4 tahun) Sekolah Murid Merdeka Gratis,Coba Program - Pengguna Jalan [Prasekolah/ 2-6 tahun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Menjadi Guru Merdeka Berkarya Bersama Sekolah.mu,Belajar dari Ki Hadjar Dewantara,Pendidikan di Masa Depan,Auditor Muda – PwC,Cikal Holiday Program Visual Arts SMP,Orangtua Murid Merdeka - Jenjang PAUD,Trial Content Creator Club,Mengenal Pendidikan Inklusif,Aplikasi Terbaik untuk Pembelajaran Jarak Jauh,Pernikahan Dalam Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Membacakan Cerita: Komik Virus Corona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Eksplorasi Minatmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,PAUD 5-6 tahun Sekolah Murid Merdeka: Triwulan 3,Trial Gratis Literasi Numerasi PAUD 3-4 Tahun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,ISB - Strategi Pembelajaran Campuran (Blended-Learning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,PTKMB - Refleksi CINTA dalam Pengasuhan dan Pengajaran,PTKMB - Strategi Pelibatan Keluarga di Satuan Pendidikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Belajar Virus Corona Bareng Anak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna SD SLB Disdik DKI Angkatan 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Biologi Seru Kelas X-SMA Negeri 14 Jakarta,Menjadi Guru Merdeka Berkarya,Biologi Kelas 10 SMAN 34 Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,ISB - Berkenalan dengan Pembelajaran Blended-Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Digital Marketing,Merancang Program Blended Learning di Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,New Parents Program 2020-2021 Cikal MSHS Serpong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Kelas Pengembangan Guru: Belajar Berbasis Kompetensi,Kelas Belajar Menyenangkan (SD),Sampahku Tanggung Jawabku (SD),Obrolan Live! #GuruMerdekaBelajar,Fun With Numbers,Prinsip CINTA,Pembelajaran Jarak Jauh di Kondisi Darurat,Home Learning - Alam & Sekitarku [Prasekolah/2-6 tahun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Menjadi Guru Merdeka Berkarya,Programmer Cilik,Membuat Konten Digital Pengajaran Abad ke-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Obrolan Live! #GuruMerdekaBelajar,Membuat Konten Digital Pengajaran Abad ke-21,Panduan Guru untuk Tatanan Belajar Baru 2020/2021,Menjadi Guru Merdeka Berkarya,Asesmen Formatif untuk Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,MPLS  Siswa SD & Paket A Tahun Pelajaran 2020/2021,Menjadi Orangtua Murid Merdeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Belajar Virus Corona Bareng Anak,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Berkenalan dengan Sekolahmu! (Guru),Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Angkatan 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Mengenal Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Panduan Orangtua Mendampingi Anak Belajar Jarak Jauh,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Sampahku Tanggung Jawabku (PAUD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Desain Grafis Percetakan-SMK-SMKN 2-Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Digital Parenting – Keluarga Kita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,PTKMB - Kesepakatan Kelas Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,ISB - Cara Belajar Seru Blended Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,PTKMB- Pengantar Program PTK Merdeka Belajar,PTKMB - Asesmen Formatif untuk Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,"Orientasi PAUD, RA, SD, MI, PaketA Tahun Pelajaran Baru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,PTKMB - Kesepakatan Kelas Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Panduan Mengelola Pembelajaran Campuran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,ISB - Strategi Pembelajaran Campuran (Blended-Learning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,PTKMB - Merancang RPP Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,PTKMB- Strategi Pelibatan Keluarga di Satuan Pendidikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,PTKMB - Pembelajaran Jarak Jauh Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,ISB - Cara Belajar Seru Blended Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Membacakan Cerita: Komik Virus Corona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,New Parents Program 2020-2021 Cikal Rec-Pri Serpong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,PTKMB- Pengantar Program PTK Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Obrolan #PemimpinMerdekaBelajar,Pembelajaran Jarak Jauh di Kondisi Darurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Kita Lawan Corona : Virus Corona itu Apa sih?,"Orientasi PAUD, RA, SD, MI, PaketA Tahun Pelajaran Baru",Kita Lawan Corona : Virus Corona itu Apa sih?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,Membuat Konten Digital Pengajaran Abad ke-21,Wardah Inspiring Teachers 2021: Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Menjadi Guru Merdeka Berkarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Nonton Bareng Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Pertunjukkan Boneka,Menjadi Guru Merdeka Berkarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,Kelas Merdeka Belajar – Kampus Guru Cikal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Cara Jitu Membantu Siswa Menjaga Kesehatan Mental,Belajar Virus Corona Bareng Anak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Panduan Guru untuk Tatanan Belajar Baru 2020/2021,Digital Parenting,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Penulisan Praktik Baik Pembelajaran Merdeka Belajar,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,Obrolan Live! #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Temukan Cita - Citamu,Digital Parenting – Keluarga Kita,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna angkatan 6,Pembelajaran Jarak Jauh di Kondisi Darurat,Nonton Bareng Guru Merdeka Belajar,Peran Guru dalam Pendidikan Abad ke-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Bahasa Inggris-XI-SMKN 71 JAKARTA-Suggestion and Offer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,FISIKA KELAS 10,IPA Kelas IX SMP - Dinas Pendidikan Jakarta,Bahasa Inggris Wajib Kelas X SMA/K-Dinas Pendidikan Jakarta,Bahasa Indonesia Kelas X SMA - Dinas Pendidikan Jakarta,Bahasa Inggris Kelas 9 SMP - Dinas Pendidikan Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,[Sekolah Cikal Surabaya] Catholic Studies 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Biologi XI (Sistem Reproduksi)  SMA MIPA - SMAN 25 Jakarta,BIOLOGI KELAS 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,Pembelajaran JarakJauh Menyenangkan Bermakna GagasCeria,Refleksi CINTA dalam Pengasuhan dan Pengajaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Merancang Program Blended Learning Bermakna Jawa Tengah,PTKMB- Pengantar Program PTK Merdeka Belajar,Prinsip CINTA,Menjadi Orangtua Murid Merdeka,Cara Mudah Membuat Video Pembelajaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,SMK Siap Karier,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Mitra,Programmer Cilik,Konsumsi Ramah Lingkungan – WWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Menjadi Guru Merdeka Berkarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,[Sekolah Cikal Serpong] Design 9 and 10,Merancang Pembelajaran Bermakna Sekolah Cikal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Sekolah Cikal - Kelas 4 - Bahasa Indonesia,Pengusaha Muda,Home Learning Project 6th Grade,Bahasa dan Sastra Inggris Kelas 11 SMAN 34 Jakarta,KELAS 1 SD-TEMA 8 PERISTIWA ALAM - SUBTEMA 2 KEMARAU- PEMBELAJARAN 1-SDN CAKUNG BARAT 07,Seni Budaya Kelas 5 #Sekolahlawancorona,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Basic Parenting SRK SMM SD,Orangtua Murid Merdeka - Jenjang SD,Membuat Video Pembelajaran Online Bersama Sekolah.mu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Pembelajaran Jarak Jauh di Kondisi Darurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Hack of Tech,ISB - Mempersiapkan Pembukaan Sekolah secara Bertahap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Merancang Pembelajaran Bermakna Sekolah Cikal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Kelas 2 SD – Dinas Pendidikan DKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,Menjadi Pemimpin Merdeka Belajar,Nonton Bareng Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,New Parents Program 2020-2021 Cikal RMC Serpong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,New Parents Program 2020-2021 Cikal MSHS Serpong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Membuat Konten Digital Pengajaran Abad ke-21,Fisika SMA Kelas 10 - Gerak & Hukum Newton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Summer Fun Camp  - Reception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Kelas Kilat: Persiapan Wawancara Kerja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Aplikasi Interaktif Terintegrasi dengan Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,[Sekolah Cikal Serpong] PSE RS,(Sekolah Cikal Serpong) Funomics A,Summer Fun Camp  - Reception,[Sekolah Cikal Serpong] CWR Novice,[Sekolah Cikal Serpong] Mindfulness Exploratory,[Sekolah Cikal Serpong] Indonesian Acquisition RS,[Sekolah Cikal Serpong] Pendongeng Cilik A & B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
